FullName                                 | Username                  | Role                 | Password
----------------------------------------------------------------------------------------------------
Account Manager                          | account                   | AccountManager       | 123
N/A                                      | am1                       | AccountManager       | 123
Allocation Manager                       | alloc_mgr                 | AllocationManager    | 123
Allocation Specialist                    | alloc_sp                  | AllocationSpecialist | 123
N/A                                      | allocator1                | Allocator            | 123
Corporate Manager                        | corp                      | Corporate            | 123
N/A                                      | admin                     | Manager              | 123
Developer                                | dev                       | Manager              | 123
General Manager                          | manager                   | Manager              | 123
N/A                                      | mannger                   | Manager              | 123
N/A                                      | marketing1                | Marketing            | 123
Aalaa                                    | aalaa_rec                 | Recruiter            | 123
Abdelrahman Adel                         | abdelrahman_rec           | Recruiter            | 123
Abdelrahman Hehsham                      | abdelrahman_rec_24        | Recruiter            | 123
Abdelrahman Hesham                       | abdelrahman_rec_61        | Recruiter            | 123
Abdelrahman Hehsam                       | abdelrahman_rec_63        | Recruiter            | 123
Abdelrahman                              | abdelrahman_rec_73        | Recruiter            | 123
Abdulrahman Jamal                        | abdulrahman_rec           | Recruiter            | 123
Adel                                     | adel_rec                  | Recruiter            | 123
Ahmed Belal                              | ahmed_rec                 | Recruiter            | 123
Ahmed Hafeez                             | ahmed_rec_38              | Recruiter            | 123
Ahmed Tarek                              | ahmed_rec_77              | Recruiter            | 123
Ahmed                                    | ahmed_rec_95              | Recruiter            | 123
Alaa                                     | alaa_rec                  | Recruiter            | 123
Alaa Ahmed                               | alaa_rec_59               | Recruiter            | 123
Ali                                      | ali_rec                   | Recruiter            | 123
Amaney                                   | amaney_rec                | Recruiter            | 123
Amaney Hamdey                            | amaney_rec_56             | Recruiter            | 123
Amaney Hamdy                             | amaney_rec_82             | Recruiter            | 123
Amani                                    | amani_rec                 | Recruiter            | 123
Amany                                    | amany_rec                 | Recruiter            | 123
Amirah                                   | amirah_rec                | Recruiter            | 123
Amr                                      | amr_rec                   | Recruiter            | 123
Amr Mohsen                               | amr_rec_82                | Recruiter            | 123
Ashraf                                   | ashraf_rec                | Recruiter            | 123
Asser                                    | asser_rec                 | Recruiter            | 123
Aya                                      | aya_rec                   | Recruiter            | 123
Aya Youssef                              | aya_rec_27                | Recruiter            | 123
Aya Nagib                                | aya_rec_43                | Recruiter            | 123
Bassem                                   | bassem_rec                | Recruiter            | 123
Belal                                    | belal_rec                 | Recruiter            | 123
Career Community                         | career_rec                | Recruiter            | 123
